Current,Status,Lifecycle,Predicted date
18.5809,1,,
7.4568,1,,
36.6885,1,,
8.6671,1,,
22.3724,1,,
4.3785,1,,
28.2068,1,,
24.346,1,,
50.5793,1,,
25.3886,1,,
37.3926,1,,
44.2182,1,,
27.2935,1,,
44.0035,1,,
34.0645,1,,
39.8583,1,,
12.1101,1,,
69.5725,1,,
64.8311,1,,
30.74,1,,
24.1072,1,,
55.7485,1,,
64.524,1,,
53.1367,1,,
18.8497,1,,
48.4346,1,,
43.7702,1,,
61.5644,1,,
35.3881,1,,
4.326,1,,
33.6058,1,,
38.0554,1,,
51.8024,1,,
51.7177,1,,
41.8345,1,,
39.4147,1,,
1.2883,1,,
65.255,1,,
26.5702,1,,
66.2323,1,,
66.6509,1,,
16.8718,1,,
63.3635,1,,
8.1038,1,,
48.6991,1,,
35.224,1,,
7.1647,1,,
50.2012,1,,
9.6469,1,,
18.322,1,,
0.466,1,,
38.4326,1,,
20.9594,1,,
49.6398,1,,
68.431,1,,
49.8004,1,,
55.6373,1,,
38.9946,1,,
67.3399,1,,
45.0306,1,,
25.1948,1,,
53.0689,1,,
53.0239,1,,
66.2318,1,,
51.1667,1,,
39.2606,1,,
31.6394,1,,
3.2029,1,,
17.3,1,,
60.7573,1,,
16.8118,1,,
4.4321,1,,
60.1388,1,,
28.4064,1,,
68.0925,1,,
30.3197,1,,
18.0339,1,,
62.2966,1,,
38.3024,1,,
49.6352,1,,
9.7867,1,,
89.9776,2,,
87.5673,2,,
86.4188,2,,
84.6875,2,,
85.215,2,,
84.3409,2,,
86.2028,2,,
84.2859,2,,
80.1307,2,,
81.9938,2,,
84.126,2,,
80.6838,2,,
80.9559,2,,
80.1827,2,,
89.1601,2,,
82.6118,2,,
88.5419,2,,
82.169,2,,
83.1965,2,,
81.5032,2,,
87.4969,2,,
88.5834,2,,
80.9467,2,,
83.1431,2,,
86.2118,2,,
87.1656,2,,
81.8865,2,,
85.6211,2,,
83.5981,2,,
85.3378,2,,
83.6805,2,,
83.1754,2,,
89.1558,2,,
86.4962,2,,
88.3706,2,,
87.3968,2,,
150.1399,3,,
146.7841,3,,
179.9156,3,,
185.7112,3,,
132.1006,3,,
159.765,3,,
145.9678,3,,
116.8712,3,,
92.9668,3,,
168.962,3,,
119.8964,3,,
179.9936,3,,
124.2871,3,,
99.2069,3,,
110.3676,3,,
184.4784,3,,
188.668,3,,
137.2321,3,,
169.9185,3,,
115.611,3,,
142.4106,3,,
153.8244,3,,
92.4027,3,,
156.6326,3,,
161.4472,3,,
167.2207,3,,
123.3373,3,,
94.9565,3,,
178.6564,3,,
102.02,3,,
124.3006,3,,
139.1146,3,,
134.3066,3,,
157.922,3,,
137.5354,3,,
187.5845,3,,
118.3199,3,,
134.6801,3,,
107.7794,3,,
111.6471,3,,
117.8267,3,,
133.3295,3,,
185.9381,3,,
158.09,3,,
145.5444,3,,
155.3457,3,,
171.5987,3,,
160.6108,3,,
168.6201,3,,
123.9757,3,,
107.5239,3,,
167.5334,3,,
131.6935,3,,
174.6304,3,,
138.9655,3,,
99.8337,3,,
173.136,3,,
162.309,3,,
118.735,3,,
109.3202,3,,
150.7727,3,,
128.0149,3,,
130.8063,3,,
187.2852,3,,
175.9593,3,,
93.4834,3,,
117.8839,3,,
107.0903,3,,
151.6421,3,,
184.8002,3,,
111.327,3,,
136.2018,3,,
164.849,3,,
92.7629,3,,
165.7839,3,,
148.2431,3,,
129.9263,3,,
116.9011,3,,
95.9642,3,,
128.2938,3,,
172.6307,3,,
202.0554,4,,
206.3265,4,,
206.6152,4,,
192.0881,4,,
207.3611,4,,
204.2386,4,,
200.4116,4,,
192.7669,4,,
190.9559,4,,
200.3499,4,,
202.8816,4,,
204.9931,4,,
198.7001,4,,
209.3473,4,,
199.1346,4,,
201.1452,4,,
202.0826,4,,
200.2324,4,,
200.2076,4,,
203.3608,4,,
204.9717,4,,
203.7649,4,,
192.2896,4,,
195.4193,4,,
204.6038,4,,
195.0251,4,,
198.4286,4,,
208.8937,4,,
209.5752,4,,
205.9477,4,,
190.2052,4,,
197.1127,4,,
191.6905,4,,
194.9242,4,,
193.1184,4,,
205.6745,4,,
268.1509,5,,
236.9197,5,,
226.4081,5,,
232.5674,5,,
259.879,5,,
251.2634,5,,
290.7833,5,,
228.8788,5,,
278.9127,5,,
268.7532,5,,
299.4397,5,,
211.6942,5,,
224.2333,5,,
254.2091,5,,
274.6506,5,,
213.6795,5,,
235.856,5,,
258.1771,5,,
277.1654,5,,
266.3089,5,,
222.4209,5,,
284.9799,5,,
252.2559,5,,
256.719,5,,
286.2388,5,,
257.4662,5,,
244.2552,5,,
214.2725,5,,
218.8654,5,,
292.4561,5,,
218.7212,5,,
222.6255,5,,
238.3623,5,,
286.2716,5,,
236.2271,5,,
244.6204,5,,
273.1619,5,,
271.349,5,,
269.6059,5,,
290.5388,5,,
